CPC/Farnell,,,,
Order Code,Qty,Product Description,Manufacturer Name & Part No.,List Price
,,,,
1466910,4,"SPACER, 3/6X7.0-NI",ETTINGER - 05.53.073,0.12
,,,,
1466903,4,"SPACER, 3/6X1.0-NI",ETTINGER - 05.53.013,0.074
1651701,1,"SPACERS, 6MM",HARWIN - R30-6010602,0.23
,,,,
BT04539,1,"CHARGER, PORTABLE NETBOOK, ENERGIZER",ENERGIZER - XP8000N,84.95
9473416,1,"SWITCH, SPDT",MULTICOMP - 1MS1T1B1M1QE,3.11
,,,,
1419990,1,"SCREW, POZI PAN, STEEL, BZP, M3X30",DURATOOL - M330 PRSTMCZ100-,2.01
1419986,1,"SCREW, POZI PAN, STEEL, BZP, M3X6",DURATOOL - M36 PRSTMCZ100-,1.4
,,,,
1419987,1,"SCREW,POZI PAN, STEEL, BZP, M3, 8MM",DURATOOL - M38 PRSTMCZ100-,1.56
1419988,1,"SCREW, POZI PAN, STEEL, BZP, M3X20",DURATOOL - M320 PRSTMCZ100-,1.71
,,,,
1419989,1,"SCREW, POZI PAN, STEEL, BZP, M3X25",DURATOOL - M325 PRSTMCZ100-,1.79
1514409,1,"Nylon SCREW, PAN, M3X6, PK25",DURATOOL - D00687,1.13
7047484,1,"WASHER, FLAT, NYLON, M3, PK50",DURATOOL - 0110765,1.11
1466803,4,"SPACER, M3X30-VZK",ETTINGER - 05.03.301,0.3
1466836,4,"SPACER, M3X12-VZK",ETTINGER - 05.13.121,0.23
,,,,
1466725,5,"SPACER, M3X, 5-VZK",ETTINGER - 05.13.051,0.195
1466772,4,"SPACER, M3X12-NI",ETTINGER - 05.03.123,0.133
,,,,
1466782,?,"SPACER, M3X13-NI",ETTINGER - 05.03.133,0.159
1466802,?,"SPACER, M3X14-ZN",ETTINGER - 05.03.141,0.21
1466822,?,"SPACER, M3X15-VZK",ETTINGER - 05.03.151,0.23
1466852,?,"SPACER, M3X17-VZK",ETTINGER - 05.03.171,0.23
1466842,?,"SPACER, M3X16-VZK",ETTINGER - 05.03.161,0.23
1466726,?,"SPACER, M3X15-VZK",ETTINGER - 05.13.151,0.26
1466733,?,"SPACER, M3X18.0-ZK",ETTINGER - 05.03.181,0.26
1466907,?,"SPACER, 3.2/6X4.0-NI",ETTINGER - 05.53.043,0.086
1466908,?,"SPACER, 3/6X5.0-NI",ETTINGER - 05.53.053,0.086
,,,,
1466909,4,"SPACER, 3/6X6.0-NI",ETTINGER - 05.53.063,0.12
,,,,
,,,,
,,,,
,,,,
,1,Terasic DE4 board,,
,1,Terasic MTL LCD,,
,1,Terasic HDMI_TX,,
,1,PicoPSU-80,,
,,Blue acrylic 3mm,,
,,Clear acrylic 4mm,,
,,Clear acrylic 1mm,,
,,Clear acrylic 2mm,,
,9,Nylon locking nuts,,
